GENE_ID	locusLine	bin_1_21_0F27_0229Kronos_MM1S-No-Treatment-1_H3K27me3_hs-dm_i02.bam
1_MACS_peak_28438_lociStitched	chr6(.):33153924-33154298	0.6281
1_MACS_peak_28439_lociStitched	chr6(.):33157150-33157735	0.7554
2_MACS_peak_28440_lociStitched	chr6(.):33158952-33160740	0.9153
1_MACS_peak_28442_lociStitched	chr6(.):33181054-33181486	0.6836
1_MACS_peak_28443_lociStitched	chr6(.):33389374-33391829	1.1384
3_MACS_peak_28444_lociStitched	chr6(.):33486691-33489669	0.8295
2_MACS_peak_28447_lociStitched	chr6(.):33691348-33699719	1.1657
1_MACS_peak_28449_lociStitched	chr6(.):33702493-33702815	0.5618
3_MACS_peak_28450_lociStitched	chr6(.):33704943-33707218	0.7684
2_MACS_peak_28453_lociStitched	chr6(.):33710372-33712279	0.8428
4_MACS_peak_28455_lociStitched	chr6(.):33713350-33723196	1.1775
1_MACS_peak_28459_lociStitched	chr6(.):33724478-33725353	1.072
2_MACS_peak_28460_lociStitched	chr6(.):33726419-33735276	1.1734
4_MACS_peak_28462_lociStitched	chr6(.):33760577-33779264	1.1879
4_MACS_peak_28466_lociStitched	chr6(.):33780400-33786887	1.1219
6_MACS_peak_28470_lociStitched	chr6(.):33787901-33803108	1.1823
1_MACS_peak_28476_lociStitched	chr6(.):33817078-33817762	0.7971
1_MACS_peak_28477_lociStitched	chr6(.):33818794-33819889	0.9619
1_MACS_peak_28478_lociStitched	chr6(.):33849907-33850213	0.5731
1_MACS_peak_28479_lociStitched	chr6(.):33852531-33852932	0.8107
6_MACS_peak_28480_lociStitched	chr6(.):33857666-33863594	0.835
9_MACS_peak_28486_lociStitched	chr6(.):33864951-33875400	0.8558
2_MACS_peak_28495_lociStitched	chr6(.):33878686-33880097	0.7886
10_MACS_peak_28497_lociStitched	chr6(.):33881386-33891124	0.8478
4_MACS_peak_28507_lociStitched	chr6(.):33892541-33895979	0.7489
4_MACS_peak_28511_lociStitched	chr6(.):33898496-33904206	0.9284
1_MACS_peak_28515_lociStitched	chr6(.):33906160-33907163	0.9125
11_MACS_peak_28516_lociStitched	chr6(.):33909321-33931418	1.0293
1_MACS_peak_28527_lociStitched	chr6(.):33932824-33933192	0.5492
2_MACS_peak_28528_lociStitched	chr6(.):33934693-33935566	0.7699
4_MACS_peak_28530_lociStitched	chr6(.):33942337-33948027	0.9742
1_MACS_peak_28534_lociStitched	chr6(.):33953299-33953857	0.6996
3_MACS_peak_28535_lociStitched	chr6(.):33960079-33963252	0.9471
2_MACS_peak_28538_lociStitched	chr6(.):33967233-33971229	1.0499
2_MACS_peak_28540_lociStitched	chr6(.):33974553-33977480	0.9119
7_MACS_peak_28542_lociStitched	chr6(.):33979100-33987258	0.9123
3_MACS_peak_28549_lociStitched	chr6(.):33988642-34001003	1.3396
1_MACS_peak_28552_lociStitched	chr6(.):34002347-34008917	1.3372
7_MACS_peak_28553_lociStitched	chr6(.):34012895-34038568	1.3693
6_MACS_peak_28560_lociStitched	chr6(.):34041187-34064856	1.3115
5_MACS_peak_28566_lociStitched	chr6(.):34067395-34082103	1.3617
3_MACS_peak_28571_lociStitched	chr6(.):34083213-34094756	1.2969
1_MACS_peak_28574_lociStitched	chr6(.):34097212-34097997	0.9932
5_MACS_peak_28575_lociStitched	chr6(.):34100295-34114808	1.3273
6_MACS_peak_28580_lociStitched	chr6(.):34117648-34126507	1.2325
1_MACS_peak_28586_lociStitched	chr6(.):34130245-34130644	1.0123
4_MACS_peak_28587_lociStitched	chr6(.):34509107-34514291	0.8129
2_MACS_peak_28591_lociStitched	chr6(.):34516861-34521030	1.102
2_MACS_peak_28593_lociStitched	chr6(.):34522115-34524013	0.8407
1_MACS_peak_28595_lociStitched	chr6(.):34535757-34536132	0.8042
1_MACS_peak_28596_lociStitched	chr6(.):35181724-35182570	1.2153
4_MACS_peak_28597_lociStitched	chr6(.):35457964-35463802	1.0459
1_MACS_peak_28601_lociStitched	chr6(.):35465648-35466645	0.9577
1_MACS_peak_28602_lociStitched	chr6(.):35477790-35478150	0.5708
1_MACS_peak_28603_lociStitched	chr6(.):35755308-35755988	0.9914
1_MACS_peak_28604_lociStitched	chr6(.):36354471-36355498	0.9272
1_MACS_peak_28605_lociStitched	chr6(.):36744137-36745068	1.0211
1_MACS_peak_28606_lociStitched	chr6(.):36746758-36747103	0.7035
1_MACS_peak_28607_lociStitched	chr6(.):36759967-36761581	0.9365
1_MACS_peak_28608_lociStitched	chr6(.):37479924-37480284	0.7589
1_MACS_peak_28609_lociStitched	chr6(.):37486910-37487279	0.5675
1_MACS_peak_28610_lociStitched	chr6(.):37500895-37501338	0.7865
2_MACS_peak_28611_lociStitched	chr6(.):37503171-37506240	0.9886
1_MACS_peak_28613_lociStitched	chr6(.):37533373-37534067	0.9856
2_MACS_peak_28614_lociStitched	chr6(.):37552951-37554234	0.9751
1_MACS_peak_28616_lociStitched	chr6(.):37592123-37592782	1.0065
1_MACS_peak_28617_lociStitched	chr6(.):37603556-37603960	0.6792
2_MACS_peak_28618_lociStitched	chr6(.):37615335-37616846	0.9264
1_MACS_peak_28620_lociStitched	chr6(.):37661357-37664957	1.5084
2_MACS_peak_28621_lociStitched	chr6(.):37666781-37668769	1.0663
2_MACS_peak_28623_lociStitched	chr6(.):39015813-39017090	0.8372
1_MACS_peak_28625_lociStitched	chr6(.):39268160-39268495	0.682
5_MACS_peak_28626_lociStitched	chr6(.):39280316-39283256	0.8309
3_MACS_peak_28631_lociStitched	chr6(.):41336845-41343806	1.1307
1_MACS_peak_28634_lociStitched	chr6(.):41376175-41376851	0.7998
2_MACS_peak_28635_lociStitched	chr6(.):41393140-41399672	1.1937
4_MACS_peak_28637_lociStitched	chr6(.):41410144-41413771	0.8603
3_MACS_peak_28641_lociStitched	chr6(.):41432726-41434260	0.7295
3_MACS_peak_28644_lociStitched	chr6(.):41435477-41440616	1.076
2_MACS_peak_28647_lociStitched	chr6(.):41470274-41473879	1.2107
1_MACS_peak_28649_lociStitched	chr6(.):41477683-41477997	0.7352
2_MACS_peak_28650_lociStitched	chr6(.):41488736-41491950	1.0441
7_MACS_peak_28652_lociStitched	chr6(.):41494749-41502798	0.8517
3_MACS_peak_28659_lociStitched	chr6(.):41504306-41506092	0.8096
1_MACS_peak_28662_lociStitched	chr6(.):41598728-41599131	0.6847
8_MACS_peak_28663_lociStitched	chr6(.):41602939-41628584	1.485
3_MACS_peak_28671_lociStitched	chr6(.):41640264-41641927	0.8426
1_MACS_peak_28674_lociStitched	chr6(.):41647499-41647876	0.6154
1_MACS_peak_28675_lociStitched	chr6(.):41710171-41710625	0.82
5_MACS_peak_28676_lociStitched	chr6(.):41748456-41753668	1.0742
2_MACS_peak_28681_lociStitched	chr6(.):42014024-42016512	1.2091
1_MACS_peak_28683_lociStitched	chr6(.):42072974-42073590	0.873
3_MACS_peak_28684_lociStitched	chr6(.):42108565-42111436	0.8293
1_MACS_peak_28687_lociStitched	chr6(.):43044122-43046304	1.4077
1_MACS_peak_28688_lociStitched	chr6(.):43094750-43095473	0.8849
2_MACS_peak_28689_lociStitched	chr6(.):43242301-43245761	0.8912
2_MACS_peak_28691_lociStitched	chr6(.):43248677-43255231	1.3422
1_MACS_peak_28693_lociStitched	chr6(.):43267483-43267856	0.6847
1_MACS_peak_28694_lociStitched	chr6(.):43423421-43424818	1.3651
2_MACS_peak_28695_lociStitched	chr6(.):43475381-43477850	1.0087
2_MACS_peak_28697_lociStitched	chr6(.):43969937-43971665	0.8922
6_MACS_peak_28699_lociStitched	chr6(.):44235932-44247839	1.207
8_MACS_peak_28705_lociStitched	chr6(.):44249681-44259939	0.933
3_MACS_peak_28713_lociStitched	chr6(.):44263552-44266264	0.8328
3_MACS_peak_28716_lociStitched	chr6(.):53496107-53498904	0.8944
1_MACS_peak_28719_lociStitched	chr6(.):53500080-53500713	1.0478
1_MACS_peak_28721_lociStitched	chr6(.):69740888-69741039	5.3699
2_MACS_peak_28722_lociStitched	chr6(.):75915074-75917688	0.9823
1_MACS_peak_28724_lociStitched	chr6(.):94166154-94166776	0.8885
1_MACS_peak_28725_lociStitched	chr6(.):94174592-94174948	0.7623
1_MACS_peak_28726_lociStitched	chr6(.):106808511-106809654	1.169
3_MACS_peak_28727_lociStitched	chr6(.):106958010-106961195	0.9196
1_MACS_peak_28730_lociStitched	chr6(.):107809460-107810014	0.9688
3_MACS_peak_28731_lociStitched	chr6(.):108436535-108438788	0.8273
5_MACS_peak_28734_lociStitched	chr6(.):108488063-108490642	0.7448
1_MACS_peak_28739_lociStitched	chr6(.):117586930-117587281	0.7125
1_MACS_peak_28740_lociStitched	chr6(.):127440548-127442402	1.136
1_MACS_peak_28741_lociStitched	chr6(.):130629466-130629612	1.7109
1_MACS_peak_28742_lociStitched	chr6(.):137243047-137243978	0.8761
1_MACS_peak_28743_lociStitched	chr6(.):137365122-137365689	1.1039
1_MACS_peak_28744_lociStitched	chr6(.):137547297-137548049	0.9998
2_MACS_peak_28745_lociStitched	chr6(.):137549534-137551900	0.9844
5_MACS_peak_28747_lociStitched	chr6(.):137814032-137819198	0.8531
1_MACS_peak_28752_lociStitched	chr6(.):148012190-148012344	0.639
3_MACS_peak_28753_lociStitched	chr6(.):148521315-148524160	0.7182
2_MACS_peak_28756_lociStitched	chr6(.):148527940-148529561	0.8135
1_MACS_peak_28758_lociStitched	chr6(.):149795194-149795749	0.7583
1_MACS_peak_28759_lociStitched	chr6(.):150207712-150208022	0.5851
1_MACS_peak_28760_lociStitched	chr6(.):150220736-150221330	0.775
2_MACS_peak_28761_lociStitched	chr6(.):150225913-150228092	1.0982
2_MACS_peak_28763_lociStitched	chr6(.):150230384-150231589	0.7109
3_MACS_peak_28765_lociStitched	chr6(.):150232728-150235385	0.8894
3_MACS_peak_28768_lociStitched	chr6(.):150237208-150238716	0.721
1_MACS_peak_28771_lociStitched	chr6(.):150240245-150241303	1.0021
2_MACS_peak_28772_lociStitched	chr6(.):150242394-150247291	0.9963
1_MACS_peak_28774_lociStitched	chr6(.):150250431-150250752	0.7583
1_MACS_peak_28775_lociStitched	chr6(.):150252353-150252734	0.8538
8_MACS_peak_28776_lociStitched	chr6(.):150255586-150270114	1.0038
3_MACS_peak_28784_lociStitched	chr6(.):150271391-150277463	1.0905
3_MACS_peak_28787_lociStitched	chr6(.):150279810-150282837	0.9339
1_MACS_peak_28790_lociStitched	chr6(.):150285244-150287087	1.2397
2_MACS_peak_28791_lociStitched	chr6(.):150310744-150311843	0.8462
3_MACS_peak_28793_lociStitched	chr6(.):150334186-150338041	0.899
2_MACS_peak_28796_lociStitched	chr6(.):150340713-150342631	0.5371
2_MACS_peak_28798_lociStitched	chr6(.):150343832-150345040	0.6465
1_MACS_peak_28800_lociStitched	chr6(.):150347226-150347546	0.7461
2_MACS_peak_28801_lociStitched	chr6(.):150373954-150375200	0.6361
1_MACS_peak_28803_lociStitched	chr6(.):155246839-155246990	17.1865
1_MACS_peak_28804_lociStitched	chr6(.):158237463-158238217	0.7227
1_MACS_peak_28805_lociStitched	chr6(.):158239653-158240757	0.6818
2_MACS_peak_28806_lociStitched	chr6(.):158243398-158245624	0.8408
1_MACS_peak_28808_lociStitched	chr6(.):159542410-159542779	0.668
1_MACS_peak_28809_lociStitched	chr6(.):159544113-159544954	0.696
2_MACS_peak_28810_lociStitched	chr6(.):159548683-159552076	1.0607
1_MACS_peak_28812_lociStitched	chr6(.):159553915-159554585	0.8074
1_MACS_peak_28813_lociStitched	chr6(.):167592805-167593548	0.6261
1_MACS_peak_28814_lociStitched	chr6(.):167616423-167616768	0.5857
3_MACS_peak_28815_lociStitched	chr6(.):167787586-167789648	0.6365
1_MACS_peak_28818_lociStitched	chr6(.):167810524-167810828	0.5891
1_MACS_peak_28819_lociStitched	chr6(.):167811864-167812275	0.6732
1_MACS_peak_28820_lociStitched	chr6(.):167815382-167815727	0.4309
3_MACS_peak_28821_lociStitched	chr6(.):168107364-168109564	0.7185
1_MACS_peak_28824_lociStitched	chr6(.):168196561-168197095	0.7238
1_MACS_peak_28825_lociStitched	chr6(.):168493358-168493686	0.7773
2_MACS_peak_28826_lociStitched	chr6(.):168615306-168616128	0.8053
1_MACS_peak_28828_lociStitched	chr6(.):168629906-168630219	0.5128
1_MACS_peak_28829_lociStitched	chr6(.):168666720-168667059	0.779
1_MACS_peak_28830_lociStitched	chr6(.):168680328-168680628	0.4948
1_MACS_peak_28831_lociStitched	chr6(.):168747269-168747630	0.6074
1_MACS_peak_28832_lociStitched	chr6(.):168856889-168857183	0.6544
1_MACS_peak_28833_lociStitched	chr6(.):168996818-168997191	0.4944
1_MACS_peak_28834_lociStitched	chr6(.):169245445-169245775	0.7877
1_MACS_peak_28835_lociStitched	chr6(.):169274930-169275365	0.7286
1_MACS_peak_28836_lociStitched	chr6(.):169570778-169571208	0.7715
1_MACS_peak_28837_lociStitched	chr6(.):170245460-170246210	1.0002
3_MACS_peak_28838_lociStitched	chr6(.):170485020-170486735	0.6126
2_MACS_peak_28841_lociStitched	chr6(.):170553667-170555428	0.691
1_MACS_peak_28843_lociStitched	chr6(.):170558168-170558655	0.881
4_MACS_peak_28844_lociStitched	chr6(.):170598683-170602737	0.8922
1_MACS_peak_28848_lociStitched	chr6(.):170604480-170605561	0.7865
1_MACS_peak_28849_lociStitched	chr6(.):170755952-170756468	1.052
2_MACS_peak_28850_lociStitched	chr6(.):170804365-170806111	1.1801
1_MACS_peak_28852_lociStitched	chr6(.):171029786-171030109	0.5716
1_MACS_peak_28853_lociStitched	chr7(.):20105-20615	0.9017
1_MACS_peak_28854_lociStitched	chr7(.):23773-24682	2.7169
2_MACS_peak_28855_lociStitched	chr7(.):32560-34033	0.5635
1_MACS_peak_28857_lociStitched	chr7(.):39878-40258	0.5323
1_MACS_peak_28858_lociStitched	chr7(.):69014-69991	0.7473
2_MACS_peak_28859_lociStitched	chr7(.):77946-79140	0.6863
1_MACS_peak_28861_lociStitched	chr7(.):121918-122164	0.4353
1_MACS_peak_28862_lociStitched	chr7(.):158442-158771	0.758
1_MACS_peak_28863_lociStitched	chr7(.):323364-323665	0.6179
1_MACS_peak_28864_lociStitched	chr7(.):328583-329000	0.9295
1_MACS_peak_28865_lociStitched	chr7(.):357675-357998	0.4856
1_MACS_peak_28866_lociStitched	chr7(.):363707-364239	0.8758
1_MACS_peak_28867_lociStitched	chr7(.):401148-401571	0.8355
1_MACS_peak_28868_lociStitched	chr7(.):468975-470312	0.8555
1_MACS_peak_28869_lociStitched	chr7(.):472551-472874	0.3102
2_MACS_peak_28870_lociStitched	chr7(.):949003-949964	0.6659
10_MACS_peak_28872_lociStitched	chr7(.):953345-976456	1.2164
2_MACS_peak_28882_lociStitched	chr7(.):978189-980152	0.7759
1_MACS_peak_28884_lociStitched	chr7(.):985296-985854	0.8791
2_MACS_peak_28885_lociStitched	chr7(.):986885-989312	1.124
2_MACS_peak_28887_lociStitched	chr7(.):991114-993070	1.0479
4_MACS_peak_28889_lociStitched	chr7(.):994653-1001707	1.1187
3_MACS_peak_28893_lociStitched	chr7(.):1016643-1027577	1.6261
1_MACS_peak_28896_lociStitched	chr7(.):1210474-1210801	0.8711
1_MACS_peak_28897_lociStitched	chr7(.):1212546-1213301	0.8416
3_MACS_peak_28898_lociStitched	chr7(.):1217043-1228368	1.3407
1_MACS_peak_28901_lociStitched	chr7(.):1229513-1235484	1.3956
4_MACS_peak_28902_lociStitched	chr7(.):1237739-1245230	1.1011
10_MACS_peak_28906_lociStitched	chr7(.):1247579-1263791	1.1042
2_MACS_peak_28916_lociStitched	chr7(.):1265067-1267511	0.9057
2_MACS_peak_28918_lociStitched	chr7(.):1270312-1271633	0.8175
13_MACS_peak_28920_lociStitched	chr7(.):1277261-1297388	1.0014
4_MACS_peak_28933_lociStitched	chr7(.):1298395-1303958	1.0739
4_MACS_peak_28937_lociStitched	chr7(.):1306808-1310730	0.9723
1_MACS_peak_28941_lociStitched	chr7(.):1322857-1323265	0.6867
5_MACS_peak_28942_lociStitched	chr7(.):1324407-1333892	1.0273
5_MACS_peak_28947_lociStitched	chr7(.):1338522-1342235	0.869
1_MACS_peak_28952_lociStitched	chr7(.):1344050-1344600	0.8728
6_MACS_peak_28953_lociStitched	chr7(.):1350846-1356086	0.9187
1_MACS_peak_28959_lociStitched	chr7(.):1357645-1357999	0.7506
4_MACS_peak_28960_lociStitched	chr7(.):1360798-1367846	1.0608
3_MACS_peak_28964_lociStitched	chr7(.):1369094-1372386	0.8317
2_MACS_peak_28967_lociStitched	chr7(.):1373894-1375593	0.8716
2_MACS_peak_28969_lociStitched	chr7(.):1380311-1382281	0.848
3_MACS_peak_28971_lociStitched	chr7(.):1383430-1384968	0.8444
1_MACS_peak_28974_lociStitched	chr7(.):1386314-1387051	0.8491
8_MACS_peak_28975_lociStitched	chr7(.):1388150-1395761	0.8577
1_MACS_peak_28983_lociStitched	chr7(.):1402781-1403155	0.7691
1_MACS_peak_28984_lociStitched	chr7(.):1404602-1404896	0.6021
1_MACS_peak_28985_lociStitched	chr7(.):1406136-1406602	0.7519
3_MACS_peak_28986_lociStitched	chr7(.):1409639-1413128	0.9997
1_MACS_peak_28989_lociStitched	chr7(.):1415320-1415765	0.8316
1_MACS_peak_28990_lociStitched	chr7(.):1416897-1417202	0.569
6_MACS_peak_28991_lociStitched	chr7(.):1421518-1428810	0.9358
1_MACS_peak_28997_lociStitched	chr7(.):1431342-1431748	0.8594
3_MACS_peak_28998_lociStitched	chr7(.):1437366-1440368	0.866
6_MACS_peak_29001_lociStitched	chr7(.):1441586-1452259	1.0705
1_MACS_peak_29007_lociStitched	chr7(.):1453830-1454410	0.8103
12_MACS_peak_29008_lociStitched	chr7(.):1455754-1480974	1.2418
1_MACS_peak_29020_lociStitched	chr7(.):1484689-1485050	0.6878
10_MACS_peak_29021_lociStitched	chr7(.):1547748-1569045	1.0983
7_MACS_peak_29031_lociStitched	chr7(.):1586838-1602926	1.3107
1_MACS_peak_29038_lociStitched	chr7(.):1617192-1617541	0.5402
6_MACS_peak_29039_lociStitched	chr7(.):1620425-1633666	1.1997
6_MACS_peak_29045_lociStitched	chr7(.):1635136-1645870	1.0894
3_MACS_peak_29051_lociStitched	chr7(.):1647148-1650300	0.9091
1_MACS_peak_29054_lociStitched	chr7(.):1651707-1652195	0.8307
1_MACS_peak_29055_lociStitched	chr7(.):1653570-1653951	0.5671
2_MACS_peak_29056_lociStitched	chr7(.):1660211-1662449	1.0136
2_MACS_peak_29058_lociStitched	chr7(.):1663500-1665538	0.8492
1_MACS_peak_29060_lociStitched	chr7(.):1677872-1678297	0.7109
2_MACS_peak_29061_lociStitched	chr7(.):1679376-1680233	0.6879
4_MACS_peak_29063_lociStitched	chr7(.):1683175-1690208	0.8955
4_MACS_peak_29067_lociStitched	chr7(.):1714474-1717627	0.8252
1_MACS_peak_29071_lociStitched	chr7(.):1731537-1731929	0.6692
4_MACS_peak_29072_lociStitched	chr7(.):1733094-1738757	0.8748
1_MACS_peak_29076_lociStitched	chr7(.):1740079-1740551	0.736
4_MACS_peak_29077_lociStitched	chr7(.):1769129-1778385	0.949
4_MACS_peak_29081_lociStitched	chr7(.):1788226-1793473	1.2388
4_MACS_peak_29085_lociStitched	chr7(.):1795359-1801222	1.0381
1_MACS_peak_29089_lociStitched	chr7(.):1805269-1805615	0.8267
2_MACS_peak_29090_lociStitched	chr7(.):1806676-1810219	1.0974
1_MACS_peak_29092_lociStitched	chr7(.):1812679-1813138	0.7639
1_MACS_peak_29093_lociStitched	chr7(.):1827261-1827704	0.8435
1_MACS_peak_29094_lociStitched	chr7(.):1866367-1866763	0.624
1_MACS_peak_29095_lociStitched	chr7(.):2499670-2500507	0.9051
1_MACS_peak_29096_lociStitched	chr7(.):2502888-2503496	0.7378
7_MACS_peak_29097_lociStitched	chr7(.):2508535-2524517	1.2128
9_MACS_peak_29104_lociStitched	chr7(.):2526831-2569437	1.5801
1_MACS_peak_29113_lociStitched	chr7(.):2570945-2573070	1.1119
8_MACS_peak_29114_lociStitched	chr7(.):2656073-2686242	1.5723
7_MACS_peak_29122_lociStitched	chr7(.):2689045-2703959	1.3104
2_MACS_peak_29129_lociStitched	chr7(.):2705189-2711245	1.2323
8_MACS_peak_29131_lociStitched	chr7(.):2712981-2733247	1.2707
1_MACS_peak_29139_lociStitched	chr7(.):2734721-2735141	0.8475
3_MACS_peak_29140_lociStitched	chr7(.):2737462-2742813	1.223
1_MACS_peak_29143_lociStitched	chr7(.):3981307-3981644	0.6961
1_MACS_peak_29144_lociStitched	chr7(.):4039662-4040351	0.7847
4_MACS_peak_29145_lociStitched	chr7(.):4046528-4051145	0.8822
1_MACS_peak_29149_lociStitched	chr7(.):4052929-4053244	0.4512
1_MACS_peak_29150_lociStitched	chr7(.):4056839-4057196	0.6201
1_MACS_peak_29151_lociStitched	chr7(.):4061996-4062385	0.6272
2_MACS_peak_29152_lociStitched	chr7(.):4838720-4839921	0.7835
6_MACS_peak_29154_lociStitched	chr7(.):4843494-4850497	0.9221
7_MACS_peak_29160_lociStitched	chr7(.):4855026-4863409	1.0017
2_MACS_peak_29167_lociStitched	chr7(.):4871516-4874064	0.7765
1_MACS_peak_29169_lociStitched	chr7(.):4876643-4877269	0.7829
1_MACS_peak_29170_lociStitched	chr7(.):4879553-4880074	0.8567
3_MACS_peak_29171_lociStitched	chr7(.):4881176-4884677	0.7764
11_MACS_peak_29174_lociStitched	chr7(.):4909655-4920220	0.8201
2_MACS_peak_29185_lociStitched	chr7(.):4941578-4942408	0.7295
1_MACS_peak_29187_lociStitched	chr7(.):4959621-4960148	0.9693
3_MACS_peak_29188_lociStitched	chr7(.):4963972-4966488	0.7616
1_MACS_peak_29191_lociStitched	chr7(.):4967653-4968013	0.6529
2_MACS_peak_29192_lociStitched	chr7(.):5001683-5002753	0.6334
1_MACS_peak_29194_lociStitched	chr7(.):5005197-5005732	0.7973
2_MACS_peak_29195_lociStitched	chr7(.):5114745-5116455	0.7168
2_MACS_peak_29197_lociStitched	chr7(.):5126163-5127269	0.9568
1_MACS_peak_29199_lociStitched	chr7(.):5128920-5129276	0.7023
1_MACS_peak_29200_lociStitched	chr7(.):5151241-5151627	0.6698
2_MACS_peak_29201_lociStitched	chr7(.):5155652-5156560	0.823
4_MACS_peak_29203_lociStitched	chr7(.):5165280-5168386	0.75
1_MACS_peak_29207_lociStitched	chr7(.):5280788-5281106	0.6643
6_MACS_peak_29208_lociStitched	chr7(.):5300798-5305240	0.8222
1_MACS_peak_29214_lociStitched	chr7(.):5308328-5308661	0.594
2_MACS_peak_29215_lociStitched	chr7(.):5313142-5316740	1.1332
3_MACS_peak_29217_lociStitched	chr7(.):5319758-5321491	0.9336
4_MACS_peak_29220_lociStitched	chr7(.):5322941-5332129	1.1658
1_MACS_peak_29224_lociStitched	chr7(.):5334231-5334630	0.6528
1_MACS_peak_29225_lociStitched	chr7(.):5336834-5342789	1.4526
1_MACS_peak_29226_lociStitched	chr7(.):5459542-5460871	1.2595
1_MACS_peak_29227_lociStitched	chr7(.):5464351-5473437	1.4383
1_MACS_peak_29228_lociStitched	chr7(.):5485797-5486203	0.9196
1_MACS_peak_29229_lociStitched	chr7(.):5495244-5495921	1.197
2_MACS_peak_29230_lociStitched	chr7(.):5584448-5587485	1.1171
2_MACS_peak_29232_lociStitched	chr7(.):5588769-5590639	0.9915
2_MACS_peak_29234_lociStitched	chr7(.):5592271-5594244	0.9456
1_MACS_peak_29236_lociStitched	chr7(.):5598799-5603454	1.1859
4_MACS_peak_29237_lociStitched	chr7(.):5609879-5616407	0.9739
3_MACS_peak_29241_lociStitched	chr7(.):5618299-5622692	1.085
3_MACS_peak_29244_lociStitched	chr7(.):5625060-5626959	0.9232
6_MACS_peak_29247_lociStitched	chr7(.):5628358-5643267	1.4509
2_MACS_peak_29253_lociStitched	chr7(.):5644366-5647834	0.8938
1_MACS_peak_29255_lociStitched	chr7(.):6561475-6561862	0.7064
4_MACS_peak_29256_lociStitched	chr7(.):6565308-6570779	0.9398
1_MACS_peak_29260_lociStitched	chr7(.):6577304-6577579	0.6363
1_MACS_peak_29261_lociStitched	chr7(.):6885303-6885589	0.6974
1_MACS_peak_29262_lociStitched	chr7(.):23507054-23509688	1.838
4_MACS_peak_29263_lociStitched	chr7(.):23512090-23517044	0.9446
1_MACS_peak_29267_lociStitched	chr7(.):25891872-25894305	1.5876
1_MACS_peak_29268_lociStitched	chr7(.):25895781-25901354	1.4566
3_MACS_peak_29269_lociStitched	chr7(.):25903159-25906406	0.9324
1_MACS_peak_29272_lociStitched	chr7(.):25908219-25908628	0.563
8_MACS_peak_29273_lociStitched	chr7(.):26422989-26430684	0.9282
1_MACS_peak_29281_lociStitched	chr7(.):26436476-26436858	0.912
1_MACS_peak_29282_lociStitched	chr7(.):27142913-27143616	0.9095
1_MACS_peak_29283_lociStitched	chr7(.):27186211-27188716	1.1526
9_MACS_peak_29284_lociStitched	chr7(.):27190700-27215532	1.2774
1_MACS_peak_29293_lociStitched	chr7(.):27219693-27219999	0.6287
4_MACS_peak_29294_lociStitched	chr7(.):27222534-27225849	0.7294
2_MACS_peak_29298_lociStitched	chr7(.):27227569-27232322	1.0892
3_MACS_peak_29300_lociStitched	chr7(.):27237983-27242436	0.8103
1_MACS_peak_29303_lociStitched	chr7(.):27244337-27245028	1.2681
1_MACS_peak_29304_lociStitched	chr7(.):28193446-28194040	0.8502
1_MACS_peak_29305_lociStitched	chr7(.):29149863-29150327	0.6337
1_MACS_peak_29306_lociStitched	chr7(.):29846872-29847480	0.7075
1_MACS_peak_29307_lociStitched	chr7(.):30028132-30028739	0.937
1_MACS_peak_29308_lociStitched	chr7(.):36311214-36311533	1.1101
1_MACS_peak_29309_lociStitched	chr7(.):44061469-44061922	0.5842
1_MACS_peak_29310_lociStitched	chr7(.):44064077-44065032	0.9672
4_MACS_peak_29311_lociStitched	chr7(.):44142344-44148344	1.0164
5_MACS_peak_29315_lociStitched	chr7(.):44257084-44280902	1.8297
1_MACS_peak_29320_lociStitched	chr7(.):44290391-44291642	0.9989
2_MACS_peak_29321_lociStitched	chr7(.):44306288-44309012	1.0714
6_MACS_peak_29323_lociStitched	chr7(.):44311871-44319597	1.046
4_MACS_peak_29329_lociStitched	chr7(.):44322242-44326394	0.8241
1_MACS_peak_29333_lociStitched	chr7(.):44327518-44327861	0.5684
1_MACS_peak_29334_lociStitched	chr7(.):44329732-44330245	0.8373
2_MACS_peak_29335_lociStitched	chr7(.):44348336-44349402	0.8682
2_MACS_peak_29337_lociStitched	chr7(.):44362404-44366859	1.144
1_MACS_peak_29339_lociStitched	chr7(.):44578417-44579214	0.8335
2_MACS_peak_29340_lociStitched	chr7(.):45123994-45127370	0.976
1_MACS_peak_29342_lociStitched	chr7(.):48075236-48075833	0.9333
1_MACS_peak_29343_lociStitched	chr7(.):53305491-53305659	14.3817
1_MACS_peak_29346_lociStitched	chr7(.):56883950-56884432	0.5459
1_MACS_peak_29347_lociStitched	chr7(.):56887641-56887934	0.444
1_MACS_peak_29348_lociStitched	chr7(.):57710651-57710954	0.7125
1_MACS_peak_29349_lociStitched	chr7(.):63210015-63210372	0.5266
1_MACS_peak_29350_lociStitched	chr7(.):63213241-63213500	0.3478
9_MACS_peak_29351_lociStitched	chr7(.):63216812-63225225	0.537
1_MACS_peak_29360_lociStitched	chr7(.):64974467-64975289	1.1362
1_MACS_peak_29361_lociStitched	chr7(.):72777445-72777851	0.7127
3_MACS_peak_29362_lociStitched	chr7(.):72823877-72825673	0.6899
1_MACS_peak_29365_lociStitched	chr7(.):72832581-72832922	0.7019
1_MACS_peak_29366_lociStitched	chr7(.):72838117-72838472	0.7964
3_MACS_peak_29367_lociStitched	chr7(.):73007285-73014263	1.1411
