GENE_ID	locusLine	bin_1_33_0EX9_0229Kronos_MM1S-No-Treatment-1_p300_hs_i49.bam
1_MACS_peak_8464_lociStitched	chr5(.):32217830-32218855	0.6675
2_MACS_peak_8465_lociStitched	chr5(.):32280394-32282494	0.7195
1_MACS_peak_8467_lociStitched	chr5(.):32290568-32291670	1.6067
1_MACS_peak_8468_lociStitched	chr5(.):32312653-32313957	0.7481
1_MACS_peak_8469_lociStitched	chr5(.):32325027-32326083	0.6764
1_MACS_peak_8470_lociStitched	chr5(.):32406573-32407391	0.9001
3_MACS_peak_8471_lociStitched	chr5(.):32531022-32543616	0.703
1_MACS_peak_8474_lociStitched	chr5(.):32572546-32573919	1.1412
2_MACS_peak_8475_lociStitched	chr5(.):32582568-32586483	0.6944
1_MACS_peak_8477_lociStitched	chr5(.):32759936-32760645	0.6065
1_MACS_peak_8478_lociStitched	chr5(.):33235739-33236545	0.6921
1_MACS_peak_8479_lociStitched	chr5(.):33675781-33676685	0.6016
1_MACS_peak_8480_lociStitched	chr5(.):33849966-33850819	1.6174
1_MACS_peak_8481_lociStitched	chr5(.):34007722-34008845	0.5919
1_MACS_peak_8482_lociStitched	chr5(.):34070541-34071267	0.6855
1_MACS_peak_8483_lociStitched	chr5(.):34244280-34245553	0.4508
1_MACS_peak_8484_lociStitched	chr5(.):35229478-35230171	0.7973
1_MACS_peak_8485_lociStitched	chr5(.):35319154-35320397	0.9291
1_MACS_peak_8486_lociStitched	chr5(.):35518062-35518802	0.7919
1_MACS_peak_8487_lociStitched	chr5(.):35617501-35618209	0.892
1_MACS_peak_8488_lociStitched	chr5(.):35852316-35853050	0.7687
1_MACS_peak_8489_lociStitched	chr5(.):35884472-35885053	0.6026
1_MACS_peak_8490_lociStitched	chr5(.):35904317-35905436	0.8322
1_MACS_peak_8491_lociStitched	chr5(.):36164479-36165279	0.9699
1_MACS_peak_8492_lociStitched	chr5(.):36241765-36242960	0.9667
1_MACS_peak_8493_lociStitched	chr5(.):36360146-36361011	0.8484
1_MACS_peak_8494_lociStitched	chr5(.):37111612-37112518	0.7342
1_MACS_peak_8495_lociStitched	chr5(.):37370935-37372093	0.7862
1_MACS_peak_8496_lociStitched	chr5(.):37436024-37436795	0.639
1_MACS_peak_8497_lociStitched	chr5(.):37737938-37738852	0.9557
1_MACS_peak_8498_lociStitched	chr5(.):37799438-37800763	0.992
1_MACS_peak_8499_lociStitched	chr5(.):37811101-37812012	1.177
1_MACS_peak_8500_lociStitched	chr5(.):37859750-37860550	0.9159
1_MACS_peak_8501_lociStitched	chr5(.):37909754-37910573	0.694
1_MACS_peak_8502_lociStitched	chr5(.):38453414-38454265	1.4413
2_MACS_peak_8503_lociStitched	chr5(.):39187858-39191762	0.3377
1_MACS_peak_8505_lociStitched	chr5(.):39460839-39461833	1.0593
1_MACS_peak_8506_lociStitched	chr5(.):39657923-39658560	0.5095
1_MACS_peak_8507_lociStitched	chr5(.):39783752-39784296	0.7974
1_MACS_peak_8508_lociStitched	chr5(.):40223844-40224569	0.749
1_MACS_peak_8509_lociStitched	chr5(.):40486330-40487626	1.389
1_MACS_peak_8510_lociStitched	chr5(.):40591628-40592430	0.8544
2_MACS_peak_8511_lociStitched	chr5(.):40677978-40680522	0.6313
1_MACS_peak_8513_lociStitched	chr5(.):41903815-41904833	0.8534
1_MACS_peak_8514_lociStitched	chr5(.):42483472-42484098	0.6364
1_MACS_peak_8515_lociStitched	chr5(.):42718466-42719328	0.7863
1_MACS_peak_8516_lociStitched	chr5(.):42950475-42952152	0.7301
1_MACS_peak_8517_lociStitched	chr5(.):42991775-42994381	0.8123
1_MACS_peak_8518_lociStitched	chr5(.):43007589-43008991	0.7746
2_MACS_peak_8519_lociStitched	chr5(.):43039840-43043401	0.852
1_MACS_peak_8521_lociStitched	chr5(.):43064625-43067461	0.7527
1_MACS_peak_8522_lociStitched	chr5(.):43120418-43121462	0.7662
1_MACS_peak_8523_lociStitched	chr5(.):43483152-43484923	0.7652
1_MACS_peak_8524_lociStitched	chr5(.):43602587-43604577	0.7348
1_MACS_peak_8525_lociStitched	chr5(.):49723985-49725079	0.9497
1_MACS_peak_8526_lociStitched	chr5(.):49736273-49737964	0.7358
1_MACS_peak_8527_lociStitched	chr5(.):49961384-49964733	0.9464
1_MACS_peak_8528_lociStitched	chr5(.):50148789-50149691	0.8071
1_MACS_peak_8529_lociStitched	chr5(.):52549166-52550025	0.9386
1_MACS_peak_8530_lociStitched	chr5(.):53736074-53737000	0.6261
1_MACS_peak_8531_lociStitched	chr5(.):53941729-53943050	0.9301
1_MACS_peak_8532_lociStitched	chr5(.):53969480-53970060	0.8623
1_MACS_peak_8533_lociStitched	chr5(.):54039669-54040976	0.9574
1_MACS_peak_8534_lociStitched	chr5(.):54081539-54082804	1.1509
1_MACS_peak_8535_lociStitched	chr5(.):54198361-54199296	1.575
1_MACS_peak_8536_lociStitched	chr5(.):54368292-54369016	0.7484
1_MACS_peak_8537_lociStitched	chr5(.):54398056-54398728	0.6892
1_MACS_peak_8538_lociStitched	chr5(.):54469180-54469694	0.6895
1_MACS_peak_8539_lociStitched	chr5(.):54716588-54717537	0.6771
2_MACS_peak_8540_lociStitched	chr5(.):54835380-54837033	0.644
1_MACS_peak_8542_lociStitched	chr5(.):54860360-54861403	1.2575
1_MACS_peak_8543_lociStitched	chr5(.):55156117-55156681	0.5544
1_MACS_peak_8544_lociStitched	chr5(.):55273273-55274648	1.9825
1_MACS_peak_8545_lociStitched	chr5(.):55289464-55290294	0.5114
5_MACS_peak_8546_lociStitched	chr5(.):55437988-55453271	0.8024
1_MACS_peak_8551_lociStitched	chr5(.):55624421-55625974	0.9214
2_MACS_peak_8552_lociStitched	chr5(.):55708528-55711720	0.6809
1_MACS_peak_8554_lociStitched	chr5(.):55797703-55798569	0.8745
1_MACS_peak_8555_lociStitched	chr5(.):55884158-55885654	2.0439
1_MACS_peak_8556_lociStitched	chr5(.):55934618-55935314	0.7305
2_MACS_peak_8557_lociStitched	chr5(.):55960645-55966655	0.6404
1_MACS_peak_8559_lociStitched	chr5(.):55981921-55982729	1.0313
1_MACS_peak_8560_lociStitched	chr5(.):56110090-56111192	0.7493
1_MACS_peak_8561_lociStitched	chr5(.):56124640-56125662	0.7658
1_MACS_peak_8562_lociStitched	chr5(.):56325793-56326680	0.7005
3_MACS_peak_8563_lociStitched	chr5(.):56467543-56472659	0.7064
1_MACS_peak_8566_lociStitched	chr5(.):56794877-56795732	0.7569
1_MACS_peak_8567_lociStitched	chr5(.):56827092-56827742	0.58
1_MACS_peak_8568_lociStitched	chr5(.):57389420-57390594	1.1942
1_MACS_peak_8569_lociStitched	chr5(.):57755831-57756902	0.8532
1_MACS_peak_8570_lociStitched	chr5(.):58423175-58424332	1.3187
1_MACS_peak_8571_lociStitched	chr5(.):58473991-58474851	0.7606
1_MACS_peak_8572_lociStitched	chr5(.):58676000-58676677	0.7141
2_MACS_peak_8573_lociStitched	chr5(.):58853285-58859629	0.7415
1_MACS_peak_8575_lociStitched	chr5(.):58886553-58888656	1.1111
1_MACS_peak_8576_lociStitched	chr5(.):58957537-58958576	0.881
1_MACS_peak_8577_lociStitched	chr5(.):58981424-58982368	0.6636
1_MACS_peak_8578_lociStitched	chr5(.):59893148-59894025	1.0735
1_MACS_peak_8579_lociStitched	chr5(.):60240736-60241642	0.6093
1_MACS_peak_8580_lociStitched	chr5(.):60615025-60616399	1.1455
1_MACS_peak_8581_lociStitched	chr5(.):60704094-60705067	1.504
1_MACS_peak_8582_lociStitched	chr5(.):61923440-61924293	0.858
2_MACS_peak_8583_lociStitched	chr5(.):61985615-61990164	0.7465
1_MACS_peak_8585_lociStitched	chr5(.):62015746-62016508	0.8421
1_MACS_peak_8586_lociStitched	chr5(.):64330947-64331902	0.569
1_MACS_peak_8587_lociStitched	chr5(.):64919678-64921353	0.8057
1_MACS_peak_8588_lociStitched	chr5(.):65117651-65118538	0.6704
1_MACS_peak_8589_lociStitched	chr5(.):65141061-65141707	0.6235
1_MACS_peak_8590_lociStitched	chr5(.):65222038-65222815	0.5915
1_MACS_peak_8591_lociStitched	chr5(.):65306018-65306805	0.6761
1_MACS_peak_8592_lociStitched	chr5(.):65439541-65441231	0.8863
1_MACS_peak_8593_lociStitched	chr5(.):65849745-65850794	1.1942
1_MACS_peak_8594_lociStitched	chr5(.):65912845-65913576	0.6313
1_MACS_peak_8595_lociStitched	chr5(.):66125413-66126220	0.9341
1_MACS_peak_8596_lociStitched	chr5(.):66299411-66300473	0.7418
2_MACS_peak_8597_lociStitched	chr5(.):66345607-66347648	1.0285
1_MACS_peak_8599_lociStitched	chr5(.):66360654-66361576	1.0743
1_MACS_peak_8600_lociStitched	chr5(.):66511243-66512323	0.6812
1_MACS_peak_8601_lociStitched	chr5(.):67729730-67730740	0.7998
1_MACS_peak_8602_lociStitched	chr5(.):68389482-68390239	0.6776
1_MACS_peak_8603_lociStitched	chr5(.):68512930-68513695	0.632
1_MACS_peak_8604_lociStitched	chr5(.):69006449-69007259	0.3468
1_MACS_peak_8605_lociStitched	chr5(.):69139763-69140448	0.3807
1_MACS_peak_8606_lociStitched	chr5(.):69344823-69345912	0.6128
1_MACS_peak_8607_lociStitched	chr5(.):69554658-69555209	0.2802
1_MACS_peak_8608_lociStitched	chr5(.):69586187-69587140	0.4427
1_MACS_peak_8609_lociStitched	chr5(.):69696567-69697777	0.4692
1_MACS_peak_8610_lociStitched	chr5(.):70014770-70015560	0.3815
1_MACS_peak_8611_lociStitched	chr5(.):70585702-70586480	0.5482
1_MACS_peak_8613_lociStitched	chr5(.):71403500-71404228	0.7007
1_MACS_peak_8614_lociStitched	chr5(.):71490377-71491308	1.2223
1_MACS_peak_8615_lociStitched	chr5(.):71761222-71762167	0.8575
1_MACS_peak_8616_lociStitched	chr5(.):72143670-72144467	0.6516
1_MACS_peak_8617_lociStitched	chr5(.):72455888-72456659	0.9458
1_MACS_peak_8618_lociStitched	chr5(.):72683156-72684336	1.6066
1_MACS_peak_8619_lociStitched	chr5(.):72861067-72861829	0.5624
1_MACS_peak_8620_lociStitched	chr5(.):73760918-73761721	0.6652
1_MACS_peak_8621_lociStitched	chr5(.):73874905-73875527	0.6939
1_MACS_peak_8622_lociStitched	chr5(.):75134894-75136082	1.6285
1_MACS_peak_8623_lociStitched	chr5(.):75142763-75144023	1.2424
1_MACS_peak_8624_lociStitched	chr5(.):75394877-75395826	0.8368
1_MACS_peak_8625_lociStitched	chr5(.):75599498-75600309	0.9067
1_MACS_peak_8626_lociStitched	chr5(.):75697201-75699261	1.2157
1_MACS_peak_8627_lociStitched	chr5(.):75816848-75817768	0.7942
1_MACS_peak_8628_lociStitched	chr5(.):75841728-75844577	1.1063
1_MACS_peak_8629_lociStitched	chr5(.):75877821-75879112	0.836
2_MACS_peak_8630_lociStitched	chr5(.):76032552-76035730	1.8821
1_MACS_peak_8632_lociStitched	chr5(.):76169732-76170927	0.6103
1_MACS_peak_8633_lociStitched	chr5(.):77517574-77518353	0.6206
1_MACS_peak_8634_lociStitched	chr5(.):78023298-78024584	1.487
1_MACS_peak_8635_lociStitched	chr5(.):78097025-78097871	0.8399
1_MACS_peak_8636_lociStitched	chr5(.):78123405-78124168	0.7517
1_MACS_peak_8637_lociStitched	chr5(.):78189685-78190540	0.7696
1_MACS_peak_8638_lociStitched	chr5(.):78525238-78526001	1.2283
1_MACS_peak_8639_lociStitched	chr5(.):78752620-78753693	0.6932
1_MACS_peak_8640_lociStitched	chr5(.):78809921-78810789	0.6346
1_MACS_peak_8641_lociStitched	chr5(.):78843088-78843918	0.751
1_MACS_peak_8642_lociStitched	chr5(.):78856672-78857838	0.8837
1_MACS_peak_8643_lociStitched	chr5(.):78907556-78908179	0.7801
1_MACS_peak_8644_lociStitched	chr5(.):79182029-79183425	0.7978
1_MACS_peak_8645_lociStitched	chr5(.):79286437-79287466	0.7339
1_MACS_peak_8646_lociStitched	chr5(.):79477160-79478100	0.961
1_MACS_peak_8647_lociStitched	chr5(.):79695081-79696026	0.7837
1_MACS_peak_8648_lociStitched	chr5(.):79783527-79784099	0.5567
1_MACS_peak_8649_lociStitched	chr5(.):80050450-80052050	0.9796
1_MACS_peak_8650_lociStitched	chr5(.):80926595-80927660	1.3618
1_MACS_peak_8651_lociStitched	chr5(.):81046474-81047688	1.0107
3_MACS_peak_8652_lociStitched	chr5(.):81146946-81151362	0.9087
1_MACS_peak_8655_lociStitched	chr5(.):81267387-81268657	0.5528
1_MACS_peak_8656_lociStitched	chr5(.):81469410-81470450	1.2221
1_MACS_peak_8657_lociStitched	chr5(.):81573578-81574841	0.5728
1_MACS_peak_8658_lociStitched	chr5(.):81669986-81671105	0.615
1_MACS_peak_8659_lociStitched	chr5(.):82177374-82178095	0.6327
1_MACS_peak_8660_lociStitched	chr5(.):82949296-82950090	0.7275
1_MACS_peak_8661_lociStitched	chr5(.):83036410-83037128	0.5178
1_MACS_peak_8662_lociStitched	chr5(.):83476781-83477478	0.7063
1_MACS_peak_8663_lociStitched	chr5(.):86315162-86316404	0.6495
1_MACS_peak_8664_lociStitched	chr5(.):86370729-86371650	0.9444
1_MACS_peak_8665_lociStitched	chr5(.):86377075-86377908	0.8482
2_MACS_peak_8666_lociStitched	chr5(.):86412569-86418562	0.6117
1_MACS_peak_8668_lociStitched	chr5(.):86636271-86637003	0.8131
1_MACS_peak_8669_lociStitched	chr5(.):87146088-87147320	1.1699
1_MACS_peak_8670_lociStitched	chr5(.):87955301-87957724	0.8595
1_MACS_peak_8671_lociStitched	chr5(.):87970070-87972217	0.8198
1_MACS_peak_8672_lociStitched	chr5(.):88029933-88031296	0.6165
4_MACS_peak_8673_lociStitched	chr5(.):88121096-88129717	0.7613
3_MACS_peak_8677_lociStitched	chr5(.):88177040-88186117	0.554
1_MACS_peak_8680_lociStitched	chr5(.):88527827-88528591	0.712
1_MACS_peak_8681_lociStitched	chr5(.):88566176-88568767	2.013
1_MACS_peak_8682_lociStitched	chr5(.):88596939-88599733	1.1509
1_MACS_peak_8683_lociStitched	chr5(.):88608586-88610672	1.1483
1_MACS_peak_8684_lociStitched	chr5(.):88615941-88616896	0.7744
1_MACS_peak_8685_lociStitched	chr5(.):88637575-88640393	1.6125
1_MACS_peak_8686_lociStitched	chr5(.):88649362-88650313	0.818
2_MACS_peak_8687_lociStitched	chr5(.):88730856-88732885	0.6871
1_MACS_peak_8689_lociStitched	chr5(.):88893507-88894294	0.7013
1_MACS_peak_8690_lociStitched	chr5(.):89226299-89227144	0.7795
1_MACS_peak_8691_lociStitched	chr5(.):89770147-89770994	0.6366
1_MACS_peak_8692_lociStitched	chr5(.):90139131-90139707	0.7437
1_MACS_peak_8693_lociStitched	chr5(.):90562057-90562681	0.6017
1_MACS_peak_8694_lociStitched	chr5(.):90568414-90569419	1.0203
1_MACS_peak_8695_lociStitched	chr5(.):90575487-90576936	1.3753
1_MACS_peak_8696_lociStitched	chr5(.):90588559-90589581	0.8727
2_MACS_peak_8697_lociStitched	chr5(.):90606993-90610773	0.7241
1_MACS_peak_8699_lociStitched	chr5(.):90656693-90657731	1.7177
2_MACS_peak_8700_lociStitched	chr5(.):90675089-90679954	0.8237
1_MACS_peak_8702_lociStitched	chr5(.):91737046-91737743	0.7318
1_MACS_peak_8703_lociStitched	chr5(.):91790542-91791362	0.7699
2_MACS_peak_8704_lociStitched	chr5(.):91836292-91840596	0.4901
1_MACS_peak_8706_lociStitched	chr5(.):92243193-92244524	0.9411
1_MACS_peak_8707_lociStitched	chr5(.):93909066-93909642	0.4077
1_MACS_peak_8708_lociStitched	chr5(.):94038209-94039206	0.8857
1_MACS_peak_8709_lociStitched	chr5(.):94423435-94424253	0.6573
1_MACS_peak_8710_lociStitched	chr5(.):94889834-94890854	0.6819
1_MACS_peak_8711_lociStitched	chr5(.):94982135-94983305	0.766
1_MACS_peak_8712_lociStitched	chr5(.):95095753-95097054	0.8687
1_MACS_peak_8713_lociStitched	chr5(.):95159361-95160480	0.7307
1_MACS_peak_8714_lociStitched	chr5(.):95204737-95206760	0.6648
2_MACS_peak_8715_lociStitched	chr5(.):95259856-95264213	0.4666
1_MACS_peak_8717_lociStitched	chr5(.):95662400-95663203	0.7161
1_MACS_peak_8718_lociStitched	chr5(.):95775102-95776162	0.7881
1_MACS_peak_8719_lociStitched	chr5(.):96231956-96232974	0.6222
1_MACS_peak_8720_lociStitched	chr5(.):96270304-96271379	1.0717
1_MACS_peak_8721_lociStitched	chr5(.):96518742-96520063	0.8147
1_MACS_peak_8722_lociStitched	chr5(.):98264790-98265608	0.7121
1_MACS_peak_8723_lociStitched	chr5(.):98362723-98363657	1.134
1_MACS_peak_8724_lociStitched	chr5(.):99281031-99282448	0.9052
2_MACS_peak_8725_lociStitched	chr5(.):99852758-99855188	0.6917
1_MACS_peak_8727_lociStitched	chr5(.):99885932-99886977	0.7659
1_MACS_peak_8728_lociStitched	chr5(.):100188481-100189380	0.8453
1_MACS_peak_8729_lociStitched	chr5(.):100207921-100209003	0.6507
2_MACS_peak_8730_lociStitched	chr5(.):100224642-100226428	0.6617
1_MACS_peak_8732_lociStitched	chr5(.):101233592-101234323	0.6167
1_MACS_peak_8733_lociStitched	chr5(.):102455219-102456386	0.6842
1_MACS_peak_8734_lociStitched	chr5(.):102594358-102595241	0.5767
1_MACS_peak_8735_lociStitched	chr5(.):102882349-102883219	0.9084
1_MACS_peak_8736_lociStitched	chr5(.):105462823-105464185	0.6945
1_MACS_peak_8737_lociStitched	chr5(.):106812366-106813123	0.8055
1_MACS_peak_8738_lociStitched	chr5(.):107717351-107718814	0.9575
1_MACS_peak_8739_lociStitched	chr5(.):107856477-107857795	1.3306
1_MACS_peak_8740_lociStitched	chr5(.):108017063-108017691	0.884
1_MACS_peak_8741_lociStitched	chr5(.):108063426-108064678	0.629
1_MACS_peak_8742_lociStitched	chr5(.):108319242-108319969	0.6467
1_MACS_peak_8743_lociStitched	chr5(.):108744308-108746679	0.7956
1_MACS_peak_8744_lociStitched	chr5(.):109031126-109032016	0.7648
1_MACS_peak_8745_lociStitched	chr5(.):109078432-109079295	0.9743
1_MACS_peak_8746_lociStitched	chr5(.):109192849-109194076	1.6052
1_MACS_peak_8747_lociStitched	chr5(.):109257003-109258106	1.005
1_MACS_peak_8748_lociStitched	chr5(.):109272287-109273498	1.1888
1_MACS_peak_8749_lociStitched	chr5(.):109389432-109390554	0.7514
1_MACS_peak_8750_lociStitched	chr5(.):109737266-109738160	1.0838
1_MACS_peak_8751_lociStitched	chr5(.):110427621-110428716	0.7192
1_MACS_peak_8752_lociStitched	chr5(.):110590094-110591008	1.1772
1_MACS_peak_8753_lociStitched	chr5(.):111039107-111039877	0.5496
1_MACS_peak_8754_lociStitched	chr5(.):111496058-111497549	0.8697
1_MACS_peak_8755_lociStitched	chr5(.):112196486-112197522	0.6965
1_MACS_peak_8756_lociStitched	chr5(.):112214042-112214935	1.238
1_MACS_peak_8757_lociStitched	chr5(.):112264475-112266189	0.9307
1_MACS_peak_8758_lociStitched	chr5(.):112305004-112305914	0.8849
1_MACS_peak_8759_lociStitched	chr5(.):112358008-112359071	1.0748
1_MACS_peak_8760_lociStitched	chr5(.):112383385-112384424	0.6952
1_MACS_peak_8761_lociStitched	chr5(.):112397812-112398681	0.8206
1_MACS_peak_8762_lociStitched	chr5(.):112450627-112451348	0.7945
1_MACS_peak_8763_lociStitched	chr5(.):112597800-112599097	0.9389
1_MACS_peak_8764_lociStitched	chr5(.):113697365-113698170	0.7373
1_MACS_peak_8765_lociStitched	chr5(.):114544734-114545722	0.8345
1_MACS_peak_8766_lociStitched	chr5(.):114631643-114632424	0.4644
2_MACS_peak_8767_lociStitched	chr5(.):114713046-114716390	0.6609
1_MACS_peak_8769_lociStitched	chr5(.):114961277-114962314	0.6916
1_MACS_peak_8770_lociStitched	chr5(.):114969822-114970760	0.8247
1_MACS_peak_8771_lociStitched	chr5(.):115176790-115177782	0.7703
1_MACS_peak_8772_lociStitched	chr5(.):115368515-115369170	0.533
1_MACS_peak_8773_lociStitched	chr5(.):115420514-115421576	0.7109
1_MACS_peak_8774_lociStitched	chr5(.):115470941-115471646	0.9294
1_MACS_peak_8775_lociStitched	chr5(.):115790124-115790835	0.7714
2_MACS_peak_8776_lociStitched	chr5(.):115910283-115913428	0.4607
1_MACS_peak_8778_lociStitched	chr5(.):116796780-116797614	1.0428
1_MACS_peak_8779_lociStitched	chr5(.):116958936-116959686	0.8463
1_MACS_peak_8780_lociStitched	chr5(.):117335565-117336418	1.289
1_MACS_peak_8781_lociStitched	chr5(.):117584947-117585842	0.8949
1_MACS_peak_8782_lociStitched	chr5(.):118366806-118367619	0.7521
1_MACS_peak_8783_lociStitched	chr5(.):118406336-118407343	0.8859
1_MACS_peak_8784_lociStitched	chr5(.):118603929-118605209	0.5624
1_MACS_peak_8785_lociStitched	chr5(.):118644084-118645248	0.9725
1_MACS_peak_8786_lociStitched	chr5(.):118668309-118669288	0.6549
1_MACS_peak_8787_lociStitched	chr5(.):118675576-118677879	1.0869
1_MACS_peak_8788_lociStitched	chr5(.):118703026-118703947	0.6789
1_MACS_peak_8789_lociStitched	chr5(.):118873106-118874052	1.4332
1_MACS_peak_8790_lociStitched	chr5(.):119704783-119705497	0.572
1_MACS_peak_8791_lociStitched	chr5(.):119740956-119742040	0.6468
1_MACS_peak_8792_lociStitched	chr5(.):119793263-119794426	1.3502
1_MACS_peak_8793_lociStitched	chr5(.):121297074-121298371	0.8785
1_MACS_peak_8794_lociStitched	chr5(.):121633172-121634218	1.1286
1_MACS_peak_8795_lociStitched	chr5(.):121659360-121659869	0.7555
1_MACS_peak_8796_lociStitched	chr5(.):121798746-121799566	1.1154
1_MACS_peak_8797_lociStitched	chr5(.):121808559-121809769	0.8539
1_MACS_peak_8798_lociStitched	chr5(.):122790848-122791787	0.7446
1_MACS_peak_8799_lociStitched	chr5(.):122847275-122848210	0.6921
1_MACS_peak_8800_lociStitched	chr5(.):122884980-122885813	1.8502
1_MACS_peak_8801_lociStitched	chr5(.):123264432-123265249	0.7787
1_MACS_peak_8802_lociStitched	chr5(.):123370377-123371186	0.9428
2_MACS_peak_8803_lociStitched	chr5(.):123390157-123393519	0.4515
1_MACS_peak_8805_lociStitched	chr5(.):123517564-123518330	0.6597
1_MACS_peak_8806_lociStitched	chr5(.):123789097-123790045	1.0395
1_MACS_peak_8807_lociStitched	chr5(.):123912436-123913361	0.9505
1_MACS_peak_8808_lociStitched	chr5(.):123919154-123920249	1.3788
1_MACS_peak_8809_lociStitched	chr5(.):123984870-123986636	2.9716
1_MACS_peak_8810_lociStitched	chr5(.):124082865-124084850	0.6076
1_MACS_peak_8811_lociStitched	chr5(.):124237621-124238616	0.9425
1_MACS_peak_8812_lociStitched	chr5(.):124270482-124272349	1.6331
2_MACS_peak_8813_lociStitched	chr5(.):124287005-124293338	0.6213
2_MACS_peak_8815_lociStitched	chr5(.):124743923-124748263	0.844
1_MACS_peak_8817_lociStitched	chr5(.):125296561-125297456	1.5938
1_MACS_peak_8818_lociStitched	chr5(.):125303190-125303858	1.1028
1_MACS_peak_8819_lociStitched	chr5(.):125439495-125440142	0.6603
1_MACS_peak_8820_lociStitched	chr5(.):125950640-125951666	1.3751
1_MACS_peak_8821_lociStitched	chr5(.):126083336-126084402	0.7292
1_MACS_peak_8822_lociStitched	chr5(.):126094087-126094751	0.5353
1_MACS_peak_8823_lociStitched	chr5(.):126307803-126308931	0.8199
1_MACS_peak_8824_lociStitched	chr5(.):126539371-126540007	0.8081
1_MACS_peak_8825_lociStitched	chr5(.):126655780-126656926	1.2209
1_MACS_peak_8826_lociStitched	chr5(.):127211038-127211939	0.7371
1_MACS_peak_8827_lociStitched	chr5(.):127278404-127279242	0.7342
1_MACS_peak_8828_lociStitched	chr5(.):127296558-127297364	1.0885
1_MACS_peak_8829_lociStitched	chr5(.):128712884-128713852	0.6418
1_MACS_peak_8830_lociStitched	chr5(.):128797369-128798116	0.5669
1_MACS_peak_8831_lociStitched	chr5(.):129437911-129438454	0.5731
1_MACS_peak_8832_lociStitched	chr5(.):129447247-129448476	0.7086
1_MACS_peak_8833_lociStitched	chr5(.):129659184-129661419	2.4324
1_MACS_peak_8834_lociStitched	chr5(.):130588267-130589168	0.7789
3_MACS_peak_8835_lociStitched	chr5(.):130710804-130718204	0.6217
1_MACS_peak_8838_lociStitched	chr5(.):130752550-130753106	0.5629
1_MACS_peak_8839_lociStitched	chr5(.):130823955-130824718	0.563
1_MACS_peak_8840_lociStitched	chr5(.):130831320-130832509	0.6868
1_MACS_peak_8841_lociStitched	chr5(.):130850388-130851199	0.762
1_MACS_peak_8842_lociStitched	chr5(.):130970295-130971561	0.8296
1_MACS_peak_8843_lociStitched	chr5(.):131131822-131133265	0.5372
1_MACS_peak_8844_lociStitched	chr5(.):131354895-131356534	1.325
2_MACS_peak_8845_lociStitched	chr5(.):131436011-131440423	0.9645
1_MACS_peak_8847_lociStitched	chr5(.):131452259-131453161	0.6249
3_MACS_peak_8848_lociStitched	chr5(.):131755023-131764022	0.9252
4_MACS_peak_8851_lociStitched	chr5(.):131791938-131803899	0.7166
1_MACS_peak_8855_lociStitched	chr5(.):131825652-131826870	0.6043
2_MACS_peak_8856_lociStitched	chr5(.):131831991-131835609	0.7804
2_MACS_peak_8858_lociStitched	chr5(.):131856098-131861750	0.7815
1_MACS_peak_8860_lociStitched	chr5(.):131964919-131966020	1.019
1_MACS_peak_8861_lociStitched	chr5(.):132298693-132299813	0.7702
1_MACS_peak_8862_lociStitched	chr5(.):133223590-133224451	0.8392
1_MACS_peak_8863_lociStitched	chr5(.):133560936-133562888	0.7604
1_MACS_peak_8864_lociStitched	chr5(.):133706178-133707434	0.8512
1_MACS_peak_8865_lociStitched	chr5(.):133771771-133773422	1.3175
1_MACS_peak_8866_lociStitched	chr5(.):133860223-133861294	0.5932
2_MACS_peak_8867_lociStitched	chr5(.):133978711-133984754	0.3621
1_MACS_peak_8869_lociStitched	chr5(.):134209337-134210391	0.6352
1_MACS_peak_8870_lociStitched	chr5(.):134368425-134369317	0.4633
1_MACS_peak_8871_lociStitched	chr5(.):134648923-134649641	0.4892
1_MACS_peak_8872_lociStitched	chr5(.):135372483-135373247	0.6575
1_MACS_peak_8873_lociStitched	chr5(.):135719379-135720138	0.6577
1_MACS_peak_8874_lociStitched	chr5(.):136390070-136390851	0.6678
1_MACS_peak_8875_lociStitched	chr5(.):137044351-137045133	0.8103
1_MACS_peak_8876_lociStitched	chr5(.):137089767-137091049	0.7992
1_MACS_peak_8877_lociStitched	chr5(.):137333347-137334148	1.01
1_MACS_peak_8878_lociStitched	chr5(.):137672762-137674355	1.0253
1_MACS_peak_8879_lociStitched	chr5(.):137878364-137879806	0.9189
1_MACS_peak_8880_lociStitched	chr5(.):137910720-137912139	1.1314
1_MACS_peak_8881_lociStitched	chr5(.):137989696-137990564	0.8356
1_MACS_peak_8882_lociStitched	chr5(.):138429924-138431031	0.719
2_MACS_peak_8883_lociStitched	chr5(.):138723838-138729393	0.8957
1_MACS_peak_8885_lociStitched	chr5(.):138749547-138751841	0.7525
1_MACS_peak_8886_lociStitched	chr5(.):138940049-138941099	0.784
1_MACS_peak_8887_lociStitched	chr5(.):138955915-138957444	0.7884
1_MACS_peak_8888_lociStitched	chr5(.):139016862-139018500	0.9476
1_MACS_peak_8889_lociStitched	chr5(.):139049247-139050727	1.2961
1_MACS_peak_8890_lociStitched	chr5(.):139390691-139391559	0.9269
2_MACS_peak_8891_lociStitched	chr5(.):139418063-139419899	0.7988
1_MACS_peak_8893_lociStitched	chr5(.):139486580-139487806	0.718
1_MACS_peak_8894_lociStitched	chr5(.):139554417-139555318	0.5863
1_MACS_peak_8895_lociStitched	chr5(.):139594252-139594976	0.7239
